<RTE>
MODEL=facebook/opt-125m, TASK=RTE, MODE=adapter-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.6714801444043321
MODEL=facebook/opt-125m, TASK=RTE, MODE=adapter-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.6173285198555957
MODEL=facebook/opt-125m, TASK=RTE, MODE=adapter-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.6678700361010831
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-3-28, LR=0.001, SEED=28, ACC= 0.6425992779783394
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-2-28, LR=0.01, SEED=28, ACC= 0.6064981949458483
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-3-210, LR=0.001, SEED=210, ACC= 0.6534296028880866
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-2-210, LR=0.01, SEED=210, ACC= 0.592057761732852
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-3-8274, LR=0.001, SEED=8274, ACC= 0.6606498194945848
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-2-8274, LR=0.01, SEED=8274, ACC= 0.6028880866425993
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-3-10283, LR=0.001, SEED=10283, ACC= 0.6750902527075813
MODEL=facebook/opt-125m, TASK=RTE, MODE=random_masking_0.999-1e-2-10283, LR=0.01, SEED=10283, ACC= 0.6209386281588448
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.6534296028880866
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.5523465703971119
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.6425992779783394
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.555956678700361
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.6534296028880866
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.631768953068592
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.6137184115523465
MODEL=facebook/opt-125m, TASK=RTE, MODE=gradient_masking_0.999-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.5812274368231047



<SST2 epoch 7>
